分类类别,主营构成,主营收入(元),收入比例,主营成本(元),成本比例,主营利润(元),利润比例,毛利率(%),企业代码,行业代码
按产品分类,投资业务收入,1249.17万,50.17%,--,--,--,--,--,﻿多元金融,﻿600695,2019-06-30
按产品分类,资产管理收入,744.33万,29.89%,80.76万,23.64%,663.57万,73.81%,89.15%,﻿多元金融,﻿600695,2019-06-30
按产品分类,租赁收入,496.38万,19.94%,260.87万,76.36%,235.51万,26.19%,47.45%,﻿多元金融,﻿600695,2019-06-30
按行业分类,投资业务收入,2269.52万,47.29%,24.50万,3.21%,2245.02万,55.62%,98.92%,﻿多元金融,﻿600695,2018-12-31
按行业分类,资产管理收入,1558.99万,32.49%,269.74万,35.39%,1289.25万,31.94%,82.70%,﻿多元金融,﻿600695,2018-12-31
按行业分类,租赁收入,970.33万,20.22%,467.99万,61.40%,502.34万,12.44%,51.77%,﻿多元金融,﻿600695,2018-12-31
按产品分类,投资业务收入,2269.52万,47.29%,24.50万,3.21%,2245.02万,55.62%,98.92%,﻿多元金融,﻿600695,2018-12-31
按产品分类,资产管理收入,1558.99万,32.49%,269.74万,35.39%,1289.25万,31.94%,82.70%,﻿多元金融,﻿600695,2018-12-31
按产品分类,租赁收入,970.33万,20.22%,467.99万,61.40%,502.34万,12.44%,51.77%,﻿多元金融,﻿600695,2018-12-31
按地区分类,境内收入,2490.37万,51.90%,762.23万,100.00%,1728.15万,100.00%,69.39%,﻿多元金融,﻿600695,2018-12-31
按地区分类,境外收入,2308.46万,48.10%,0.00,0.00%,--,--,--,﻿多元金融,﻿600695,2018-12-31
按行业分类,投资业务,1068.97万,50.91%,--,--,--,--,--,﻿多元金融,﻿600695,2018-06-30
按行业分类,资产管理,572.35万,27.26%,166.63万,45.66%,405.72万,60.93%,70.89%,﻿多元金融,﻿600695,2018-06-30
按行业分类,租赁,458.42万,21.83%,198.27万,54.34%,260.15万,39.07%,56.75%,﻿多元金融,﻿600695,2018-06-30
按产品分类,投资业务,1068.97万,50.91%,--,--,--,--,--,﻿多元金融,﻿600695,2018-06-30
按产品分类,资产管理,572.35万,27.26%,166.63万,45.66%,405.72万,60.93%,70.89%,﻿多元金融,﻿600695,2018-06-30
按产品分类,租赁,458.42万,21.83%,198.27万,54.34%,260.15万,39.07%,56.75%,﻿多元金融,﻿600695,2018-06-30
按行业分类,投资业务收入,3381.23万,67.53%,--,--,--,--,--,﻿多元金融,﻿600695,2017-12-31
按行业分类,资产管理收入,872.08万,17.42%,293.43万,48.90%,578.65万,56.42%,66.35%,﻿多元金融,﻿600695,2017-12-31
按行业分类,租赁收入,753.50万,15.05%,306.58万,51.10%,446.92万,43.58%,59.31%,﻿多元金融,﻿600695,2017-12-31
按地区分类,境外收入,2635.77万,52.64%,--,--,--,--,--,﻿多元金融,﻿600695,2017-12-31
按地区分类,境内收入,2371.04万,47.36%,600.00万,100.00%,1771.03万,100.00%,74.69%,﻿多元金融,﻿600695,2017-12-31
按行业分类,其他业务,2728.29万,53.59%,1969.72万,100.00%,758.57万,100.00%,27.80%,﻿多元金融,﻿600695,2016-12-31
按行业分类,投资管理业务,2362.46万,46.41%,--,--,--,--,--,﻿多元金融,﻿600695,2016-12-31
按地区分类,境外销售收入,3396.97万,66.73%,1471.67万,74.72%,1925.30万,61.69%,56.68%,﻿多元金融,﻿600695,2016-12-31
按地区分类,境内销售收入,1693.78万,33.27%,498.02万,25.28%,1195.77万,38.31%,70.60%,﻿多元金融,﻿600695,2016-12-31
按行业分类,其他业务,1994.44万,63.84%,1508.04万,100.00%,486.40万,100.00%,24.39%,﻿多元金融,﻿600695,2016-06-30
按行业分类,投资管理业务,1129.62万,36.16%,--,--,--,--,--,﻿多元金融,﻿600695,2016-06-30
按地区分类,境外,2375.90万,76.05%,--,--,--,--,--,﻿多元金融,﻿600695,2016-06-30
按地区分类,境内,748.16万,23.95%,--,--,--,--,--,﻿多元金融,﻿600695,2016-06-30
按地区分类,境内销售收入,15600.0万,64.50%,14100.0万,65.14%,1541.61万,59.18%,9.87%,﻿多元金融,﻿600695,2015-12-31
按地区分类,境外销售收入,8596.53万,35.50%,7533.30万,34.86%,1063.23万,40.82%,12.37%,﻿多元金融,﻿600695,2015-12-31
按产品分类,食品,9875.71万,94.23%,9650.33万,96.71%,225.38万,44.95%,2.28%,﻿多元金融,﻿600695,2014-06-30
按产品分类,其他(补充),604.26万,5.77%,328.20万,3.29%,276.06万,55.05%,45.69%,﻿多元金融,﻿600695,2014-06-30
按产品分类,（2）食品,27700.0万,94.93%,25800.0万,95.43%,1938.58万,88.72%,6.99%,﻿多元金融,﻿600695,2013-12-31
按产品分类,其他(补充),1480.74万,5.07%,1234.19万,4.57%,246.55万,11.28%,16.65%,﻿多元金融,﻿600695,2013-12-31
